,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Computation_Time(ms),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
424,424,C5-C7-C10,44.71028,9883.076,C5-C7-C10-C15-C16,"(5, 7, 10, 15, 16)",C5-C7-C10-C15-C16,23.25000017881393,13991,11278.146266937256,2443.403720855713,15719.0899848938,5-7-10-15-16,76.846,8535.65
425,425,C2-C6-C7-C9,48.49261,10913.839,C2-C6-C7-C9-C17,"(2, 6, 7, 9, 17)",C2-C6-C7-C9-C17,34.65000092983246,13991,10727.601766586304,2364.788055419922,15395.906448364258,2-6-7-9-17,78.002,8457.8
426,426,C3-C5-C7,42.777393,9346.793,C3-C5-C7-C15-C19,"(3, 5, 7, 15, 19)",C3-C5-C7-C15-C19,38.2099986076355,14000,10727.719068527222,2296.295404434204,15374.786853790283,3-5-7-15-19,79.62199999999999,8559.779999999999
427,427,C2-C5-C9,39.304955,9086.032,C2-C5-C9-C17-C22,"(2, 5, 9, 17, 22)",C2-C5-C9-C17-C22,24.42000061273575,13990,10967.91934967041,2429.6915531158447,15289.150953292848,2-5-9-17-22,80.02,8546.57
428,428,C2-C3-C7,41.122055,8765.327,C2-C3-C7-C15-C21,"(2, 3, 7, 15, 21)",C2-C3-C7-C15-C21,32.710000872612,13995,11029.078483581545,2392.556667327881,15636.519432067871,2-3-7-15-21,80.628,8481.35
429,429,C6-C7-C8-C10,46.698517,11021.512,C6-C7-C8-C10-C25,"(6, 7, 8, 10, 25)",C6-C7-C8-C10-C25,22.63000011444092,13987,10962.99958229065,2424.278497695923,15413.425207138062,6-7-8-10-25,74.378,8424.59
430,430,C2-C6-C8,37.160156,8753.336,C2-C6-C8-C15-C25,"(2, 6, 8, 15, 25)",C2-C6-C8-C15-C25,28.859999775886536,13987,10165.677309036257,2406.8610668182373,13842.264413833618,2-6-8-15-25,75.03999999999999,8436.29
431,431,C1-C2-C3,40.59739,8341.104,C1-C2-C3-C19-C23,"(1, 2, 3, 19, 23)",C1-C2-C3-C19-C23,21.699999272823334,13995,10532.382011413574,2276.951789855957,14839.396238327026,1-2-3-19-23,81.53999999999999,8533.27
432,432,C1-C3-C4-C10,47.491894,10299.521,C1-C3-C4-C10-C25,"(1, 3, 4, 10, 25)",C1-C3-C4-C10-C25,20.479999482631683,13990,10761.321306228638,2369.7967529296875,15356.741905212402,1-3-4-10-25,78.476,8482.91
433,433,C1-C2-C8-C10,44.206814,10141.7295,C1-C2-C8-C10-C25,"(1, 2, 8, 10, 25)",C1-C2-C8-C10-C25,40.18000066280365,13986,10913.438320159912,2339.216947555542,15107.05852508545,1-2-8-10-25,77.49600000000001,8473.560000000001
