,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Computation_Time(ms),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
289,289,C3-C6-C8-C9,23.765558,14249.856,C3-C6-C8-C9-C23,"(3, 6, 8, 9, 23)",C3-C6-C8-C9-C23,11.209999769926071,11992,13118.83783340454,2661.1576080322266,19532.499074935917,3-6-8-9-23,33.436,12892.0
290,290,C1-C4-C5-C9,23.613409,14315.997,C1-C4-C5-C9-C20,"(1, 4, 5, 9, 20)",C1-C4-C5-C9-C20,8.470000326633453,11991,13028.801441192629,2613.948345184326,19296.80037498474,1-4-5-9-20,33.458,12903.65
291,291,C1-C5-C7,12.141509,12613.573,C1-C5-C7-C20-C24,"(1, 5, 7, 20, 24)",C1-C5-C7-C20-C24,12.439999729394913,11992,13086.35115623474,2659.986019134521,19318.38297843933,1-5-7-20-24,27.598000000000003,12800.56
292,292,C1-C5-C9,14.585693,11958.252,C1-C5-C9-C15-C18,"(1, 5, 9, 15, 18)",C1-C5-C9-C15-C18,9.440000355243685,11995,13007.723808288574,2652.8844833374023,18945.4927444458,1-5-9-15-18,31.92,12773.94
293,293,C1-C3-C6,13.19126,12328.702,C1-C3-C6-C15-C20,"(1, 3, 6, 15, 20)",C1-C3-C6-C15-C20,8.190000057220459,11993,12974.499225616457,2632.2474479675293,19326.390266418457,1-3-6-15-20,36.114,12862.19
294,294,C4-C6-C10,19.71355,13362.964,C4-C6-C10-C15-C18,"(4, 6, 10, 15, 18)",C4-C6-C10-C15-C18,9.679999947547913,11980,12946.32601737976,2631.3316822052,19220.02935409546,4-6-10-15-18,27.45,13380.44
295,295,C2-C3-C5,14.440194,12497.5205,C2-C3-C5-C18-C20,"(2, 3, 5, 18, 20)",C2-C3-C5-C18-C20,10.570000112056732,11988,12849.365949630735,2597.0897674560547,18957.76414871216,2-3-5-18-20,24.72,12847.01
296,296,C1-C4-C8,13.664612,12688.007,C1-C4-C8-C15-C20,"(1, 4, 8, 15, 20)",C1-C4-C8-C15-C20,11.20000034570694,11987,12837.242126464844,2613.025665283203,18992.26307868957,1-4-8-15-20,37.556,13129.13
297,297,C1-C6-C7-C10,24.26735,14421.22,C1-C6-C7-C10-C15,"(1, 6, 7, 10, 15)",C1-C6-C7-C10-C15,11.28999963402748,11991,12808.624267578123,2581.8581581115723,18833.84323120117,1-6-7-10-15,28.126,13093.580000000002
298,298,C6-C7-C8,18.004885,13258.642,C6-C7-C8-C19-C23,"(6, 7, 8, 19, 23)",C6-C7-C8-C19-C23,15.26000052690506,11992,12840.848684310911,2585.425853729248,18927.71887779236,6-7-8-19-23,28.70800000000001,12905.33
