,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,Prediction_Time(s),New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Combination_Computation_Time(s),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
143,143,C7-C8-C9,44.69438040639413,10081.336525436083,7.43865966796875e-05,C7-C8-C9-C18-C19,"(7, 8, 9, 18, 19)",C7-C8-C9-C18-C19,36.9700014591217,13990,8962.89324760437,1810.269117355347,12.398,7-8-9-18-19,88.4,8406.939999999999
144,144,C1-C6-C8,39.17699941136672,8857.020419756509,7.510185241699219e-05,C1-C6-C8-C21-C22,"(1, 6, 8, 21, 22)",C1-C6-C8-C21-C22,49.77999925613403,13985,8920.217752456665,1828.1285762786863,12.423,1-6-8-21-22,83.488,8449.62
145,145,C4-C5-C7,44.79700450185304,9622.11241914747,7.367134094238281e-05,C4-C5-C7-C16-C19,"(4, 5, 7, 16, 19)",C4-C5-C7-C16-C19,47.029998898506165,13991,8800.558090209961,1794.6991920471191,12.334,4-5-7-16-19,86.37,8529.08
146,146,C6-C9-C10,44.46181203941175,10792.361612758325,7.462501525878906e-05,C6-C9-C10-C17-C24,"(6, 9, 10, 17, 24)",C6-C9-C10-C17-C24,22.759999334812164,13985,8775.230884552002,1775.484323501587,12.249,6-9-10-17-24,83.086,8437.04
147,147,C8-C9-C10,50.35854747132457,10322.837077620648,7.486343383789062e-05,C8-C9-C10-C21-C25,"(8, 9, 10, 21, 25)",C8-C9-C10-C21-C25,38.65000009536743,13990,8900.527000427246,1794.623613357544,12.266,8-9-10-21-25,90.882,8430.93
148,148,C5-C9-C10,46.96131496121331,10214.925025882052,8.344650268554688e-05,C5-C9-C10-C21-C23,"(5, 9, 10, 21, 23)",C5-C9-C10-C21-C23,50.52000284194946,13995,8805.285930633545,1787.0643138885498,12.207,5-9-10-21-23,88.97200000000001,8582.9
149,149,C6-C8-C10,45.42031002417941,10207.706034607212,8.0108642578125e-05,C6-C8-C10-C22-C23,"(6, 8, 10, 22, 23)",C6-C8-C10-C22-C23,39.05999958515167,13980,8827.779054641724,1770.6811428070068,12.206,6-8-10-22-23,82.144,8461.529999999999
150,150,C6-C8-C9-C10,51.47136563440364,10936.625157591943,7.510185241699219e-05,C6-C8-C9-C10-C22,"(6, 8, 9, 10, 22)",C6-C8-C9-C10-C22,24.68000054359436,13980,8796.576738357544,1801.4700412750244,12.267,6-8-9-10-22,81.636,8451.95
151,151,C1-C4-C9,42.43390631340277,8342.210560159514,7.43865966796875e-05,C1-C4-C9-C18-C23,"(1, 4, 9, 18, 23)",C1-C4-C9-C18-C23,58.24999809265137,13990,8791.109561920166,1775.8665084838867,12.244,1-4-9-18-23,90.886,8427.67
152,152,C1-C7-C8,43.66780496960105,8549.241687714924,7.462501525878906e-05,C1-C7-C8-C15-C16,"(1, 7, 8, 15, 16)",C1-C7-C8-C15-C16,41.530001163482666,13991,8791.134357452393,1781.836986541748,12.181,1-7-8-15-16,89.612,8442.6
153,153,C1-C2-C3-C5,43.6959634158804,10240.629046293065,8.559226989746094e-05,C1-C2-C3-C5-C15,"(1, 2, 3, 5, 15)",C1-C2-C3-C5-C15,55.94000220298767,13994,8808.814764022827,1766.3981914520264,12.227,1-2-3-5-15,84.556,8545.970000000001
154,154,C2-C6-C10,47.52549146282198,8881.869117969813,7.390975952148438e-05,C2-C6-C10-C16-C22,"(2, 6, 10, 16, 22)",C2-C6-C10-C16-C22,57.87000060081482,13975,8729.408264160156,1765.5117511749268,12.147,2-6-10-16-22,77.054,8459.050000000001
155,155,C3-C4-C7-C10,51.76267485757075,10640.689071648692,7.462501525878906e-05,C3-C4-C7-C10-C15,"(3, 4, 7, 10, 15)",C3-C4-C7-C10-C15,50.30999779701233,13990,8778.2564163208,1781.3410758972168,12.23,3-4-7-10-15,86.912,8415.509999999998
156,156,C2-C4-C7,46.20262260508218,8606.68313655526,7.43865966796875e-05,C2-C4-C7-C17-C19,"(2, 4, 7, 17, 19)",C2-C4-C7-C17-C19,51.94000005722046,13989,8767.346858978271,1772.8729248046875,12.301,2-4-7-17-19,84.11399999999999,8402.54
157,157,C5-C7-C9,45.41131203995258,10015.999979196862,7.390975952148438e-05,C5-C7-C9-C16-C25,"(5, 7, 9, 16, 25)",C5-C7-C9-C16-C25,30.59999942779541,13996,8749.773740768433,1770.9622383117676,12.229,5-7-9-16-25,87.022,8512.52
158,158,C3-C6-C7,41.962112970638735,9289.43284240961,7.319450378417969e-05,C3-C6-C7-C15-C16,"(3, 6, 7, 15, 16)",C3-C6-C7-C15-C16,36.52999997138977,13991,8794.28505897522,1770.1787948608398,12.25,3-6-7-15-16,82.64999999999999,8397.48
159,159,C3-C4-C5,43.50956598127071,9178.255341944236,7.343292236328125e-05,C3-C4-C5-C15-C18,"(3, 4, 5, 15, 18)",C3-C4-C5-C15-C18,49.73999857902527,13990,8848.488330841064,1775.4991054534912,12.327,3-4-5-15-18,87.404,8505.43
160,160,C4-C8-C9-C10,50.69349216917036,10806.810983620378,9.870529174804688e-05,C4-C8-C9-C10-C25,"(4, 8, 9, 10, 25)",C4-C8-C9-C10-C25,57.109999656677246,13985,14078.936338424684,7001.0480880737305,17.613,4-8-9-10-25,89.82000000000001,8412.26
161,161,C3-C5-C7,42.04134808828181,9393.604133226065,7.653236389160156e-05,C3-C5-C7-C17-C25,"(3, 5, 7, 17, 25)",C3-C5-C7-C17-C25,61.22000217437744,14000,9337.156057357788,1897.305011749268,12.92,3-5-7-17-25,86.78999999999999,8508.67
162,162,C1-C6-C9,39.44954046642419,8562.965203509406,7.390975952148438e-05,C1-C6-C9-C16-C17,"(1, 6, 9, 16, 17)",C1-C6-C9-C16-C17,63.23999762535095,13991,9212.647914886476,1865.0023937225344,12.744,1-6-9-16-17,86.244,8455.480000000001
163,163,C3-C6-C9,40.8354695431304,9394.245475028129,7.462501525878906e-05,C3-C6-C9-C17-C18,"(3, 6, 9, 17, 18)",C3-C6-C9-C17-C18,47.22000062465668,13990,9066.509246826172,1846.214771270752,12.724,3-6-9-17-18,84.412,8406.79
164,164,C2-C5-C9,44.698712157405566,8835.875320603918,7.43865966796875e-05,C2-C5-C9-C17-C23,"(2, 5, 9, 17, 23)",C2-C5-C9-C17-C23,26.21999979019165,13994,9164.78443145752,1855.7779788970947,12.905,2-5-9-17-23,85.174,8548.650000000001
165,165,C4-C5-C6,40.38065633397842,10130.433338231229,7.390975952148438e-05,C4-C5-C6-C16-C24,"(4, 5, 6, 16, 24)",C4-C5-C6-C16-C24,59.85000133514404,13981,9316.621780395508,1917.3600673675537,12.964,4-5-6-16-24,80.85,8511.92
166,166,C1-C2-C4-C6,42.7284571233611,10117.86004198643,7.414817810058594e-05,C1-C2-C4-C6-C17,"(1, 2, 4, 6, 17)",C1-C2-C4-C6-C17,45.44999897480011,13984,9256.444692611694,1886.9497776031492,12.787,1-2-4-6-17,80.746,8430.84
167,167,C1-C5-C9,42.06981624030554,8625.894620143867,7.581710815429688e-05,C1-C5-C9-C16-C17,"(1, 5, 9, 16, 17)",C1-C5-C9-C16-C17,40.56000113487244,13996,9109.928846359251,1850.5525588989256,12.559,1-5-9-16-17,90.026,8584.470000000001
168,168,C2-C8-C9,45.08602190251172,9000.532935358364,7.462501525878906e-05,C2-C8-C9-C17-C23,"(2, 8, 9, 17, 23)",C2-C8-C9-C17-C23,22.39000052213669,13989,8924.677848815918,1803.41911315918,12.337,2-8-9-17-23,87.26400000000001,8429.25
169,169,C1-C5-C7,40.2568029420945,8499.743287062414,7.43865966796875e-05,C1-C5-C7-C15-C25,"(1, 5, 7, 15, 25)",C1-C5-C7-C15-C25,33.61999988555908,14000,8875.928401947021,1791.3165092468262,12.374,1-5-7-15-25,87.77199999999999,8524.27
170,170,C3-C6-C9-C10,48.10886972058243,10735.227648352064,7.367134094238281e-05,C3-C6-C9-C10-C17,"(3, 6, 9, 10, 17)",C3-C6-C9-C10-C17,43.560001254081726,13990,8900.002241134644,1799.2496490478516,12.398,3-6-9-10-17,84.148,8446.97
171,171,C3-C8-C10,45.60190908445611,9766.41372522738,8.249282836914062e-05,C3-C8-C10-C17-C22,"(3, 8, 10, 17, 22)",C3-C8-C10-C17-C22,31.90000057220459,13985,8846.468925476074,1786.4196300506592,12.336,3-8-10-17-22,87.432,8464.27
172,172,C1-C3-C7,40.62365971984156,8492.8012115937,9.250640869140624e-05,C1-C3-C7-C20-C23,"(1, 3, 7, 20, 23)",C1-C3-C7-C20-C23,28.90999913215637,13993,8921.065330505371,1803.659200668335,12.357,1-3-7-20-23,88.26000000000002,8647.82
173,173,C3-C6-C8,37.8032025410205,9897.869014950402,7.510185241699219e-05,C3-C6-C8-C17-C24,"(3, 6, 8, 17, 24)",C3-C6-C8-C17-C24,43.88999938964844,13985,8837.389469146729,1782.4034690856934,12.247,3-6-8-17-24,83.39,8399.09
174,174,C4-C5-C10,44.78738710613745,9897.740147205126,7.414817810058594e-05,C4-C5-C10-C18-C22,"(4, 5, 10, 18, 22)",C4-C5-C10-C18-C22,66.93000197410583,13980,8828.6874294281,1793.595790863037,12.296,4-5-10-18-22,84.15,8563.94
175,175,C1-C4-C6-C7,44.51469326291275,10940.929939668988,7.414817810058594e-05,C1-C4-C6-C7-C24,"(1, 4, 6, 7, 24)",C1-C4-C6-C7-C24,43.779999017715454,13985,8826.36284828186,1795.440673828125,12.358,1-4-6-7-24,81.088,8398.259999999998
176,176,C5-C6-C10,44.14824116733835,10017.538000752096,7.557868957519531e-05,C5-C6-C10-C16-C19,"(5, 6, 10, 16, 19)",C5-C6-C10-C16-C19,37.58000135421753,13986,8815.155982971191,1777.6098251342771,12.269,5-6-10-16-19,82.57000000000001,8582.37
177,177,C3-C4-C8,46.81178489841504,9182.5331517025,7.390975952148438e-05,C3-C4-C8-C16-C25,"(3, 4, 8, 16, 25)",C3-C4-C8-C16-C25,47.90000021457672,13986,8908.910036087036,1795.6106662750244,12.367,3-4-8-16-25,90.28,8380.890000000001
178,178,C2-C4-C5-C7,53.90314623343335,10354.495387248218,7.43865966796875e-05,C2-C4-C5-C7-C15,"(2, 4, 5, 7, 15)",C2-C4-C5-C7-C15,24.01999980211258,13989,8889.426231384277,1819.9925422668457,12.349,2-4-5-7-15,81.47999999999999,8506.18
179,179,C3-C4-C6-C10,50.04712389241223,10592.791627961898,7.367134094238281e-05,C3-C4-C6-C10-C23,"(3, 4, 6, 10, 23)",C3-C4-C6-C10-C23,20.980000495910645,13985,8892.365455627441,1799.7939586639404,12.399,3-4-6-10-23,83.582,8430.89
180,180,C7-C8-C10,46.20370863989249,10162.050889688202,7.557868957519531e-05,C7-C8-C10-C18-C25,"(7, 8, 10, 18, 25)",C7-C8-C10-C18-C25,51.670002937316895,13985,8803.641080856323,1777.2762775421145,12.279,7-8-10-18-25,87.44200000000001,8421.72
181,181,C5-C6-C10,43.9056135577784,10175.218176330984,7.43865966796875e-05,C5-C6-C10-C17-C22,"(5, 6, 10, 17, 22)",C5-C6-C10-C17-C22,38.440001010894775,13985,8783.978700637817,1772.019386291504,12.279,5-6-10-17-22,79.938,8586.59
182,182,C3-C4-C9-C10,52.33879774209277,10990.665696726748,7.486343383789062e-05,C3-C4-C9-C10-C20,"(3, 4, 9, 10, 20)",C3-C4-C9-C10-C20,41.29000008106232,13983,8836.361408233643,1794.6109771728516,12.285,3-4-9-10-20,87.994,8640.94
183,183,C1-C4-C6-C10,48.57856532310451,10196.48135430134,9.65595245361328e-05,C1-C4-C6-C10-C25,"(1, 4, 6, 10, 25)",C1-C4-C6-C10-C25,56.80000185966492,13985,8870.504140853882,1793.9584255218506,12.348,1-4-6-10-25,84.492,8433.85
184,184,C1-C3-C9,41.63500589283082,8789.66394653321,7.843971252441406e-05,C1-C3-C9-C17-C20,"(1, 3, 9, 17, 20)",C1-C3-C9-C17-C20,48.87999892234802,13993,8889.79172706604,1786.4577770233154,12.299,1-3-9-17-20,90.54,8656.02
185,185,C1-C3-C9,40.699165980322256,8405.55415173344,7.462501525878906e-05,C1-C3-C9-C22-C23,"(1, 3, 9, 22, 23)",C1-C3-C9-C22-C23,33.570000529289246,13995,8878.336906433105,1791.771411895752,12.374,1-3-9-22-23,89.098,8439.87
186,186,C2-C6-C8,42.84804483479238,8811.645187567932,7.772445678710938e-05,C2-C6-C8-C19-C25,"(2, 6, 8, 19, 25)",C2-C6-C8-C19-C25,43.68999898433685,13984,8869.381427764893,1791.3191318511963,12.362,2-6-8-19-25,81.1,8384.000000000002
187,187,C3-C6-C10,41.12425569683327,9387.912973963808,7.510185241699219e-05,C3-C6-C10-C18-C25,"(3, 6, 10, 18, 25)",C3-C6-C10-C18-C25,53.20000052452088,13985,8856.695413589478,1778.9676189422607,18.415,3-6-10-18-25,83.42,8410.32
188,188,C1-C2-C5-C6,43.57325799995566,10113.58343099789,7.462501525878906e-05,C1-C2-C5-C6-C25,"(1, 2, 5, 6, 25)",C1-C2-C5-C6-C25,43.50000023841858,13989,9527.313709259031,2000.863075256348,13.219,1-2-5-6-25,79.196,8530.59
189,189,C1-C2-C4,36.64965394314508,8820.72646760821,7.486343383789062e-05,C1-C2-C4-C17-C24,"(1, 2, 4, 17, 24)",C1-C2-C4-C17-C24,31.3400000333786,13984,9194.559812545776,1880.500555038452,12.839,1-2-4-17-24,85.088,8417.99
190,190,C4-C5-C7-C9,49.80658163486447,11104.481689353515,7.390975952148438e-05,C4-C5-C7-C9-C25,"(4, 5, 7, 9, 25)",C4-C5-C7-C9-C25,48.21999967098236,13995,9147.384643554688,1863.5735511779783,12.76,4-5-7-9-25,86.262,8487.36
191,191,C2-C3-C4,44.77924390976513,8549.26446433967,7.462501525878906e-05,C2-C3-C4-C17-C25,"(2, 3, 4, 17, 25)",C2-C3-C4-C17-C25,66.1899983882904,13989,9207.941770553589,1855.8931350708008,12.782,2-3-4-17-25,85.934,8373.750000000002
192,192,C6-C9-C10,47.04012062022417,10546.491544931652,7.367134094238281e-05,C6-C9-C10-C20-C22,"(6, 9, 10, 20, 22)",C6-C9-C10-C20-C22,66.03000164031982,13978,9195.253133773804,1855.8247089385984,12.655,6-9-10-20-22,80.68400000000001,8661.99
193,193,C1-C4-C5,40.64552494539504,8909.618838913957,7.390975952148438e-05,C1-C4-C5-C20-C22,"(1, 4, 5, 20, 22)",C1-C4-C5-C20-C22,42.98999905586243,13983,9221.530199050903,1862.7126216888428,12.73,1-4-5-20-22,85.256,8769.980000000001
194,194,C3-C5-C10,43.97191123412609,9753.829640055072,7.343292236328125e-05,C3-C5-C10-C21-C22,"(3, 5, 10, 21, 22)",C3-C5-C10-C21-C22,34.25000011920929,13990,9179.685115814207,1852.394819259644,12.762,3-5-10-21-22,85.33000000000001,8576.68
195,195,C1-C3-C4-C5,47.53363052978438,10424.247002379045,0.0001015663146972,C1-C3-C4-C5-C23,"(1, 3, 4, 5, 23)",C1-C3-C4-C5-C23,38.83000016212464,13995,9106.12440109253,1849.9433994293213,12.684,1-3-4-5-23,88.83600000000001,8549.300000000001
196,196,C5-C8-C10,46.08840312655355,10175.82475381107,7.581710815429688e-05,C5-C8-C10-C23-C25,"(5, 8, 10, 23, 25)",C5-C8-C10-C23-C25,29.980000853538517,13990,9072.224855422974,1825.624942779541,12.533,5-8-10-23-25,88.842,8559.82
197,197,C5-C6-C9,43.73656790367404,10519.299851293792,7.343292236328125e-05,C5-C6-C9-C24-C25,"(5, 6, 9, 24, 25)",C5-C6-C9-C24-C25,29.30000126361847,13990,9022.416591644287,1825.199604034424,12.504,5-6-9-24-25,81.78200000000001,8484.61
198,198,C1-C3-C9,41.843111635416825,8349.045945122838,7.343292236328125e-05,C1-C3-C9-C15-C19,"(1, 3, 9, 15, 19)",C1-C3-C9-C15-C19,51.60999894142151,14000,9004.269123077393,1811.565637588501,12.466,1-3-9-15-19,91.82,8421.880000000001
199,199,C1-C4-C6-C10,49.34120539512405,10200.130409339634,7.343292236328125e-05,C1-C4-C6-C10-C18,"(1, 4, 6, 10, 18)",C1-C4-C6-C10-C18,45.87000012397766,13980,8966.883659362793,1810.502290725708,12.493,1-4-6-10-18,83.50000000000001,8458.42
200,200,C4-C6-C7,40.68005094177891,9730.390095651728,7.367134094238281e-05,C4-C6-C7-C20-C25,"(4, 6, 7, 20, 25)",C4-C6-C7-C20-C25,61.19999885559082,13983,8989.49408531189,1817.0139789581297,12.534,4-6-7-20-25,81.44999999999999,8576.57
201,201,C1-C7-C10,42.85017561031374,9052.234674762643,8.225440979003906e-05,C1-C7-C10-C19-C20,"(1, 7, 10, 19, 20)",C1-C7-C10-C19-C20,49.27999973297119,13988,8844.436407089233,1792.6342487335205,12.312,1-7-10-19-20,87.728,8688.34
202,202,C6-C8-C10,46.20066939418761,10151.301521577692,7.367134094238281e-05,C6-C8-C10-C17-C25,"(6, 8, 10, 17, 25)",C6-C8-C10-C17-C25,63.8700008392334,13985,8851.85694694519,1796.5540885925293,12.312,6-8-10-17-25,84.94399999999999,8436.49
203,203,C1-C3-C6-C9,47.7722237058475,10433.198815289186,7.295608520507812e-05,C1-C3-C6-C9-C18,"(1, 3, 6, 9, 18)",C1-C3-C6-C9-C18,54.29999828338623,13990,8927.566289901733,1799.966812133789,12.411,1-3-6-9-18,84.56400000000001,8422.73
204,204,C1-C3-C5,43.23899671945248,8414.983074993528,7.367134094238281e-05,C1-C3-C5-C16-C23,"(1, 3, 5, 16, 23)",C1-C3-C5-C16-C23,45.48999965190888,13996,8960.863828659058,1808.462381362915,12.426,1-3-5-16-23,89.596,8574.460000000001
205,205,C2-C4-C10,48.27333585907984,8705.379046659686,7.414817810058594e-05,C2-C4-C10-C21-C25,"(2, 4, 10, 21, 25)",C2-C4-C10-C21-C25,34.25999879837036,13984,8915.213108062744,1789.5655632019043,12.364,2-4-10-21-25,85.53999999999999,8412.87
206,206,C2-C3-C7,46.02469871963883,8807.076676151722,0.0001053810119628,C2-C3-C7-C15-C20,"(2, 3, 7, 15, 20)",C2-C3-C7-C15-C20,44.6399986743927,13987,8845.147848129272,1785.3224277496338,12.332,2-3-7-15-20,82.75399999999999,8602.89
207,207,C1-C4-C9,44.295334878280805,8502.36499644768,7.557868957519531e-05,C1-C4-C9-C16-C19,"(1, 4, 9, 16, 19)",C1-C4-C9-C16-C19,35.8599990606308,13991,8926.172733306885,1803.638458251953,12.403,1-4-9-16-19,91.478,8435.24
208,208,C2-C6-C8,42.96427946536447,8805.599192467525,7.390975952148438e-05,C2-C6-C8-C15-C17,"(2, 6, 8, 15, 17)",C2-C6-C8-C15-C17,55.27999997138977,13984,8842.946767807007,1778.0861854553225,12.267,2-6-8-15-17,81.08999999999999,8413.550000000001
209,209,C1-C3-C6,40.43363666331763,8734.643413149455,7.462501525878906e-05,C1-C3-C6-C19-C22,"(1, 3, 6, 19, 22)",C1-C3-C6-C19-C22,59.20000076293945,13990,8943.128108978271,1804.7058582305908,12.414,1-3-6-19-22,82.998,8432.85
210,210,C4-C7-C9,44.486287052037895,9615.95553784764,7.295608520507812e-05,C4-C7-C9-C18-C21,"(4, 7, 9, 18, 21)",C4-C7-C9-C18-C21,58.27999711036682,13990,8908.47110748291,1789.8619174957275,12.372,4-7-9-18-21,87.818,8392.619999999999
211,211,C5-C6-C8,42.04690627404101,9906.871176188928,7.295608520507812e-05,C5-C6-C8-C19-C25,"(5, 6, 8, 19, 25)",C5-C6-C8-C19-C25,60.03999710083008,13990,8919.878005981445,1793.318748474121,12.432,5-6-8-19-25,83.66999999999999,8511.04
212,212,C2-C3-C5,42.9644818064508,9017.59262729331,7.319450378417969e-05,C2-C3-C5-C18-C24,"(2, 3, 5, 18, 24)",C2-C3-C5-C18-C24,53.530001640319824,13984,8842.242002487183,1775.7015228271484,12.371,2-3-5-18-24,81.45599999999999,8506.779999999999
213,213,C3-C4-C5-C9,51.98397819427742,10882.667932952923,7.343292236328125e-05,C3-C4-C5-C9-C18,"(3, 4, 5, 9, 18)",C3-C4-C5-C9-C18,59.43999886512756,13990,8826.114654541016,1793.2534217834473,12.398,3-4-5-9-18,87.12,8510.119999999999
214,214,C5-C8-C9,44.06641690967223,10184.231126497025,7.271766662597656e-05,C5-C8-C9-C20-C23,"(5, 8, 9, 20, 23)",C5-C8-C9-C20-C23,40.84999859333038,13988,8862.289667129517,1792.8969860076904,12.294,5-8-9-20-23,88.412,8759.25
215,215,C1-C3-C4-C5,47.52966216684635,10716.98297254545,7.343292236328125e-05,C1-C3-C4-C5-C22,"(1, 3, 4, 5, 22)",C1-C3-C4-C5-C22,39.809998869895935,13990,8955.457210540771,1805.232048034668,12.485,1-3-4-5-22,85.74000000000001,8547.43
216,216,C1-C3-C6-C7,47.48970599641096,10637.774862450897,7.462501525878906e-05,C1-C3-C6-C7-C22,"(1, 3, 6, 7, 22)",C1-C3-C6-C7-C22,35.62999963760376,13990,8979.572057723999,1801.9862174987795,12.449,1-3-6-7-22,80.244,8426.32
217,217,C2-C4-C8-C10,55.9463658761496,10197.43018053748,8.225440979003906e-05,C2-C4-C8-C10-C21,"(2, 4, 8, 10, 21)",C2-C4-C8-C10-C21,33.399999141693115,13979,8863.033771514893,1785.4948043823242,12.342,2-4-8-10-21,85.134,8444.02
218,218,C4-C5-C7-C8,49.932772272766,11291.46219451388,8.153915405273438e-05,C4-C5-C7-C8-C20,"(4, 5, 7, 8, 20)",C4-C5-C7-C8-C20,42.93000102043152,13983,8847.99838066101,1788.365125656128,12.417,4-5-7-8-20,84.826,8736.710000000001
219,219,C4-C5-C10,41.96425200497995,10355.749300378986,7.486343383789062e-05,C4-C5-C10-C20-C24,"(4, 5, 10, 20, 24)",C4-C5-C10-C20-C24,53.64999771118164,13978,16529.732942581177,8944.488525390625,20.205,4-5-10-20-24,84.76400000000001,8758.57
220,220,C1-C8-C10,43.274699597665006,8818.876166540007,7.510185241699219e-05,C1-C8-C10-C21-C25,"(1, 8, 10, 21, 25)",C1-C8-C10-C21-C25,53.00999879837036,13990,9402.321100234984,1900.5706310272217,12.956,1-8-10-21-25,91.426,8462.11
221,221,C3-C7-C10,44.98307984248856,9807.435625165112,7.43865966796875e-05,C3-C7-C10-C17-C22,"(3, 7, 10, 17, 22)",C3-C7-C10-C17-C22,37.65999972820282,13990,9286.47494316101,1886.8825435638428,12.83,3-7-10-17-22,85.114,8453.57
222,222,C4-C6-C7,42.8751626697706,9908.86173331478,7.390975952148438e-05,C4-C6-C7-C16-C20,"(4, 6, 7, 16, 20)",C4-C6-C7-C16-C20,59.34000015258789,13979,9231.117010116575,1861.2847328186035,12.752,4-6-7-16-20,81.2,8614.3
223,223,C2-C3-C9-C10,53.33574466267317,10283.918419162772,7.367134094238281e-05,C2-C3-C9-C10-C25,"(2, 3, 9, 10, 25)",C2-C3-C9-C10-C25,43.0400013923645,13989,9162.599325180054,1869.395732879639,12.705,2-3-9-10-25,85.296,8410.69
224,224,C1-C2-C4-C8,45.18275333000749,10094.973729810476,7.390975952148438e-05,C1-C2-C4-C8-C16,"(1, 2, 4, 8, 16)",C1-C2-C4-C8-C16,54.4700026512146,13980,9185.335874557495,1875.4777908325195,12.825,1-2-4-8-16,86.304,8439.929999999998
225,225,C2-C5-C8-C10,53.87297263511054,10347.60725641706,7.319450378417969e-05,C2-C5-C8-C10-C15,"(2, 5, 8, 10, 15)",C2-C5-C8-C10-C15,32.31000006198883,13984,9160.492181777954,1852.0150184631348,12.682,2-5-8-10-15,83.55199999999999,8569.060000000001
226,226,C1-C2-C4,36.86410658878598,8820.401001628283,0.000152587890625,C1-C2-C4-C23-C24,"(1, 2, 4, 23, 24)",C1-C2-C4-C23-C24,67.17000007629395,13984,9194.480180740356,1851.2423038482664,12.692,1-2-4-23-24,85.204,8412.329999999998
227,227,C5-C8-C9,45.078981258589394,10062.333627779366,9.369850158691406e-05,C5-C8-C9-C15-C25,"(5, 8, 9, 15, 25)",C5-C8-C9-C15-C25,42.4699991941452,13995,9153.335809707642,1844.707489013672,12.686,5-8-9-15-25,89.54599999999999,8503.79
228,228,C1-C2-C7,37.3992203033417,8390.80329028593,0.0001466274261474,C1-C2-C7-C17-C18,"(1, 2, 7, 17, 18)",C1-C2-C7-C17-C18,50.26000142097473,13989,9158.420085906982,1843.2095050811768,12.65,1-2-7-17-18,84.318,8441.73
229,229,C1-C5-C7,42.31353814349565,8580.263450619326,8.058547973632812e-05,C1-C5-C7-C16-C19,"(1, 5, 7, 16, 19)",C1-C5-C7-C16-C19,47.42000102996826,13996,9096.968650817871,1839.310646057129,12.623,1-5-7-16-19,87.596,8570.68
230,230,C4-C5-C8,44.612845207422765,9480.609041602178,7.557868957519531e-05,C4-C5-C8-C18-C23,"(4, 5, 8, 18, 23)",C4-C5-C8-C18-C23,27.66999900341034,13985,9058.19845199585,1822.27087020874,12.629,4-5-8-18-23,88.096,8532.21
231,231,C1-C6-C8-C9,46.78735117988814,10490.554552094292,7.462501525878906e-05,C1-C6-C8-C9-C19,"(1, 6, 8, 9, 19)",C1-C6-C8-C9-C19,57.89999961853027,13990,8950.958251953125,1811.229467391968,12.438,1-6-8-9-19,86.054,8437.65
232,232,C2-C4-C10,48.43809105627201,8701.376354552962,7.486343383789062e-05,C2-C4-C10-C15-C17,"(2, 4, 10, 15, 17)",C2-C4-C10-C15-C17,51.46999955177307,13984,9020.260095596312,1814.33367729187,12.531,2-4-10-15-17,85.508,8438.16
233,233,C6-C7-C8,45.02516678844532,10357.783013214885,7.748603820800781e-05,C6-C7-C8-C17-C20,"(6, 7, 8, 17, 20)",C6-C7-C8-C17-C20,56.41999840736389,13983,9064.611911773682,1827.9194831848145,12.566,6-7-8-17-20,82.11800000000001,8633.38
234,234,C2-C3-C5-C7,55.20692895849928,10246.037295900576,0.0001366138458251,C2-C3-C5-C7-C16,"(2, 3, 5, 7, 16)",C2-C3-C5-C7-C16,42.48999953269959,13990,8969.350337982178,1816.9596195220947,12.495,2-3-5-7-16,81.41,8531.68
235,235,C4-C8-C9,46.40355969203819,9743.482459186793,0.0001056194305419,C4-C8-C9-C16-C23,"(4, 8, 9, 16, 23)",C4-C8-C9-C16-C23,33.61000120639801,13986,8859.598875045776,1804.0027618408203,12.383,4-8-9-16-23,91.006,8417.810000000001
236,236,C5-C7-C8,47.46036653889303,9931.149859398714,0.0001251697540283,C5-C7-C8-C15-C16,"(5, 7, 8, 15, 16)",C5-C7-C8-C15-C16,47.609999775886536,13991,8889.692544937134,1809.9901676177976,12.4,5-7-8-15-16,86.9,8538.98
237,237,C1-C3-C9,43.86976615021849,8767.032972308356,0.0001051425933837,C1-C3-C9-C16-C22,"(1, 3, 9, 16, 22)",C1-C3-C9-C16-C22,43.779999017715454,13991,8934.032440185547,1799.5221614837646,12.42,1-3-9-16-22,88.668,8445.03
238,238,C1-C3-C7,43.72409295629027,8395.78417848702,7.724761962890625e-05,C1-C3-C7-C16-C25,"(1, 3, 7, 16, 25)",C1-C3-C7-C16-C25,57.95000195503235,13996,8953.421354293823,1806.659698486328,12.421,1-3-7-16-25,89.188,8411.79
239,239,C1-C4-C9,42.49904362556151,8836.874495168444,7.605552673339844e-05,C1-C4-C9-C17-C22,"(1, 4, 9, 17, 22)",C1-C4-C9-C17-C22,56.40000104904175,13990,8962.370872497559,1806.4851760864256,12.445,1-4-9-17-22,88.846,8439.460000000001
240,240,C1-C3-C8,43.31868194277739,8406.165524292419,7.605552673339844e-05,C1-C3-C8-C21-C25,"(1, 3, 8, 21, 25)",C1-C3-C8-C21-C25,27.880001068115234,13995,8936.895370483398,1804.9461841583247,12.395,1-3-8-21-25,91.808,8416.0
