,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,Prediction_Time(s),New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Combination_Computation_Time(s),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
76,76,C2-C6-C9,42.33300831129256,8800.769349251595,7.462501525878906e-05,C2-C6-C9-C16-C25,"(2, 6, 9, 16, 25)",C2-C6-C9-C16-C25,58.410000801086426,13985,8653.155088424683,1752.1476745605469,12.033,2-6-9-16-25,80.898,8386.590000000002
77,77,C4-C6-C10,42.62925217932018,9703.289508512851,7.43865966796875e-05,C4-C6-C10-C17-C25,"(4, 6, 10, 17, 25)",C4-C6-C10-C17-C25,45.9199994802475,13985,8685.633897781372,1753.1778812408447,12.073,4-6-10-17-25,84.34,8417.91
78,78,C1-C3-C9,40.81529737564622,8374.094238495103,7.557868957519531e-05,C1-C3-C9-C21-C25,"(1, 3, 9, 21, 25)",C1-C3-C9-C21-C25,40.70000052452088,14000,8697.40915298462,1752.981662750244,12.072,1-3-9-21-25,91.886,8407.84
79,79,C1-C4-C8-C10,50.41848172697767,10433.92946543565,7.462501525878906e-05,C1-C4-C8-C10-C22,"(1, 4, 8, 10, 22)",C1-C4-C8-C10-C22,32.269999384880066,13980,8620.41449546814,1753.680944442749,12.004,1-4-8-10-22,87.44800000000001,8474.14
80,80,C1-C3-C7,40.24637618203359,8384.235830355805,7.486343383789062e-05,C1-C3-C7-C17-C18,"(1, 3, 7, 17, 18)",C1-C3-C7-C17-C18,38.589999079704285,13995,8633.224487304688,1746.9360828399658,12.085,1-3-7-17-18,88.51,8436.86
81,81,C3-C5-C9,41.1850695168004,9603.831780249153,7.271766662597656e-05,C3-C5-C9-C20-C21,"(3, 5, 9, 20, 21)",C3-C5-C9-C20-C21,32.73000121116638,13993,8627.302408218384,1743.6392307281494,12.095,3-5-9-20-21,87.816,8745.41
82,82,C1-C7-C9,41.74963005353212,8684.347231245965,9.441375732421876e-05,C1-C7-C9-C16-C23,"(1, 7, 9, 16, 23)",C1-C7-C9-C16-C23,41.359999775886536,13996,8684.584856033325,1752.363681793213,12.034,1-7-9-16-23,89.91400000000002,8448.710000000001
83,83,C4-C5-C10,43.99815776361011,9896.612104895325,7.462501525878906e-05,C4-C5-C10-C20-C23,"(4, 5, 10, 20, 23)",C4-C5-C10-C20-C23,30.469998717308044,13983,8756.01315498352,1760.0407600402832,12.2,4-5-10-20-23,86.88000000000002,8782.43
84,84,C5-C6-C9,40.609710573114526,10285.737552218165,7.462501525878906e-05,C5-C6-C9-C15-C20,"(5, 6, 9, 15, 20)",C5-C6-C9-C15-C20,49.84999895095825,13988,11642.769813537598,4437.60085105896,15.162,5-6-9-15-20,82.316,8735.39
85,85,C3-C5-C10,42.63395144781496,9623.455640622637,7.462501525878906e-05,C3-C5-C10-C20-C23,"(3, 5, 10, 20, 23)",C3-C5-C10-C20-C23,52.38000154495239,13988,8994.982481002808,1815.1865005493164,12.455,3-5-10-20-23,87.016,8788.5
