New_Combination,Predicted_Accuracy(%),Predicted_DataVolume,Predicted_Latency_Sum(ms),Predicted_RoundTime_Max(ms),Numerical_Combination,ZeroShot_Accuracy(%),ZeroShot_DataVolume,ZeroShot_Latency_Sum(ms),ZeroShot_RoundTime_Max(ms),Combo_Set,Historical_Combination,Historical_Accuracy,Historical_DataVolume,Historical_Latency,Historical_RoundTime
C1-C2-C10-C15-C25,9.17000025510788,11990,4923.410415649414,998.4731674194336,1-2-10-15-25,12.148317,11823.9795,62265.06,15047.772,"{'C25', 'C1', 'C15', 'C2', 'C10'}",C2-C10,9.97999981045723,4788.0,,11675.539016723633
C1-C2-C10-C15-C25,9.17000025510788,11990,4923.410415649414,998.4731674194336,1-2-10-15-25,12.148317,11823.9795,62265.06,15047.772,"{'C25', 'C1', 'C15', 'C2', 'C10'}",C1-C2-C10,11.180000007152556,7188.0,,11987.98441886902
C2-C3-C6-C22-C23,12.359999865293505,11983,4953.529119491577,997.1377849578856,2-3-6-22-23,11.447911,12073.663,59919.098,15206.711,"{'C23', 'C22', 'C2', 'C6', 'C3'}",C2-C3,18.240000307559967,4795.0,,11675.539016723633
C2-C3-C6-C22-C23,12.359999865293505,11983,4953.529119491577,997.1377849578856,2-3-6-22-23,11.447911,12073.663,59919.098,15206.711,"{'C23', 'C22', 'C2', 'C6', 'C3'}",C2-C6,11.12999990582466,4792.0,,11675.539016723633
C2-C3-C6-C22-C23,12.359999865293505,11983,4953.529119491577,997.1377849578856,2-3-6-22-23,11.447911,12073.663,59919.098,15206.711,"{'C23', 'C22', 'C2', 'C6', 'C3'}",C3-C6,13.979999721050262,4797.0,,11017.77482032776
C2-C3-C6-C22-C23,12.359999865293505,11983,4953.529119491577,997.1377849578856,2-3-6-22-23,11.447911,12073.663,59919.098,15206.711,"{'C23', 'C22', 'C2', 'C6', 'C3'}",C2-C3-C6,17.239999771118164,7192.0,,11675.539016723633
C9-C10-C15-C19-C25,9.790000319480896,11995,4970.04771232605,1006.30784034729,9-10-15-19-25,12.693591,12023.996,64496.777,15390.714,"{'C25', 'C15', 'C9', 'C10', 'C19'}",C9-C10,18.41000020503997,4793.0,,15963.633060455322
C2-C8-C9-C15-C18,9.98999997973442,11985,5026.3612270355225,1015.8491134643556,2-8-9-15-18,12.7149725,12203.784,68098.33,17026.203,"{'C8', 'C15', 'C9', 'C2', 'C18'}",C2-C8,17.29999929666519,4791.0,,14680.899620056152
C2-C8-C9-C15-C18,9.98999997973442,11985,5026.3612270355225,1015.8491134643556,2-8-9-15-18,12.7149725,12203.784,68098.33,17026.203,"{'C8', 'C15', 'C9', 'C2', 'C18'}",C2-C9,16.769999265670776,4795.0,,15963.633060455322
C2-C8-C9-C15-C18,9.98999997973442,11985,5026.3612270355225,1015.8491134643556,2-8-9-15-18,12.7149725,12203.784,68098.33,17026.203,"{'C8', 'C15', 'C9', 'C2', 'C18'}",C8-C9,23.98999929428101,4796.0,,15963.633060455322
C2-C8-C9-C15-C18,9.98999997973442,11985,5026.3612270355225,1015.8491134643556,2-8-9-15-18,12.7149725,12203.784,68098.33,17026.203,"{'C8', 'C15', 'C9', 'C2', 'C18'}",C2-C8-C9,12.370000034570694,7191.0,,15963.633060455322
C6-C9-C10-C20-C21,12.290000170469284,11986,4988.178014755249,1011.9359493255616,6-9-10-20-21,11.681948,12233.823,66345.07,16610.69,"{'C20', 'C21', 'C9', 'C6', 'C10'}",C6-C9,10.930000245571136,4797.0,,15963.633060455322
